stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
762011182,,Sandbergveien,,60.1054080,11.5048910,,,0,
762011184,,Vestby,,60.0308070,11.4059000,,,0,
762011185,,Vestby,,60.0301360,11.4067490,,,0,
762011187,,Droggetoppen,,60.1305160,11.4892790,,,0,
762011188,,Droggetoppen,,60.1303520,11.4888700,,,0,
762011190,,Nordre Vogstad,,60.1472590,11.4221160,,,0,
762011191,,Nordre Vogstad,,60.1473620,11.4222330,,,0,
762011193,,Søndre Vogstad,,60.1432380,11.4252980,,,0,
762011194,,Søndre Vogstad,,60.1433140,11.4254840,,,0,
762011196,,Vøyen,,60.1938590,11.4642880,,,0,
762011197,,Vøyen,,60.1938590,11.4646310,,,0,
762011199,,Ødegård,,60.1107250,11.5206110,,,0,
762011200,,Ødegård,,60.1105610,11.5207420,,,0,
762011202,,Østgård skole,,60.1200600,11.5300200,,,0,
762011204,,Østhagen,,60.0945010,11.4753540,,,0,
762011205,,Østhagen,,60.0948030,11.4769770,,,0,
762011206,,Østhagen,,60.0940930,11.4765460,,,0,
762011208,,Åsly,,60.1372180,11.3798090,,,0,
762011209,,Åsly,,60.1371310,11.3800910,,,0,
762011211,,Åsvangen,,60.2130700,11.5638860,,,0,
762011212,,Åsvangen,,60.2130280,11.5641350,,,0,
762011214,,Finstadteiet,,60.1635090,11.3714720,,,0,
762011215,,Finstadteiet,,60.1634670,11.3717220,,,0,
762011216,,Finstadteiet,,60.1633800,11.3715350,,,0,
762011218,,Råbukkvegen,,60.1326870,11.3600860,,,0,
762011219,,Råbukkvegen,,60.1325720,11.3602950,,,0,
762011221,,Opsalenga,,60.2459140,11.5036190,,,0,
762011222,,Opsalenga,,60.2459950,11.5036790,,,0,
762011224,,Smedsrud,,60.1566730,11.5390880,,,0,
762011225,,Smedsrud,,60.1565780,11.5392970,,,0,
762011227,,Halvorsen,,60.1635780,11.5570710,,,0,
762011228,,Halvorsen,,60.1634100,11.5572920,,,0,
762011230,,Smedsrud skole,,60.1631770,11.5498290,,,0,
762011234,,Skøyenteiet,,60.1486780,11.5310660,,,0,
762011236,,Skøyen,,60.2277410,11.3168390,,,0,
